1;Tržnica center;Vodnikov trg 6;46.050893;14.509144;trznica
2;Tržnica Koseze;Vodnikova cesta;46.074057;14.475672;trznica
3;Tržnica Šiška;Celovška cesta;46.066714;14.493568;trznica
4;Tržnica Moste;Zaloška cesta;46.056312;14.534638;trznica
5;Tržnica BTC;Francoska ulica;46.064347;14.544711;trznica
6;Tržnica Bežigrad;Linhartov podhod 39;46.06376;14.50865;trznica
7;Kraj 1;Borcev za severno mejo 56;46.035863;14.518395;kmetija
8;Kraj 2;Slovenska cesta 1;46.047075;14.500933;kmetija
9;Kraj 3;Kuštrinova 3;46.079549;14.457121;kmetija
10;Kraj 4;Podutiška 185;46.074525;14.446428;kmetija
